qtid,prevClose,open,hi,lo,close,volume,value,ret,vwap,adjFactor,tradeStatus
000001.SZ,11.3900,11.3800,11.4700,11.3600,11.3800,94377015.0000,1077182643.0000,-0.0008779631,11.41361213,150.53599548339844,1
000002.SZ,6.3100,6.3100,6.3200,6.2600,6.2700,73745911.0000,463346536.0000,-0.0063391442,6.28301325,99.09539794921875,1
000004.SZ,12.6100,12.6100,13.2400,12.5200,12.6500,8023786.0000,103150350.0000,0.0031720856,12.85557092,7.9942498207092285,1
000006.SZ,13.0300,13.0400,13.0900,12.6500,12.6500,55428105.0000,709524457.0000,-0.0291634689,12.80080668,64.00279998779297,1
000007.SZ,7.9900,8.2300,8.4900,8.0400,8.2100,27183979.0000,223793722.0000,0.0275344180,8.23255941,15.418700218200684,1
000008.SZ,2.8600,2.8600,2.9000,2.8500,2.8600,52392318.0000,150505990.0000,0E-10,2.87267286,32.097801208496094,1
000009.SZ,11.2200,11.2300,11.4300,11.1200,11.1700,51762463.0000,583129791.0000,-0.0044563280,11.26549544,11.946700096130371,1
000010.SZ,3.9300,3.9100,3.9300,3.8200,3.8300,23704200.0000,91513104.0000,-0.0254452926,3.86062824,11.229900360107422,1
000011.SZ,11.1700,11.1600,11.3100,10.7200,10.9800,30460820.0000,333288475.0000,-0.0170098478,10.94154639,3.2432100772857666,1
000012.SZ,4.8100,4.7900,4.8000,4.7500,4.7600,19012902.0000,90724856.0000,-0.0103950104,4.77175215,22.347900390625,1
000014.SZ,22.3400,22.3400,22.5800,20.7700,20.8300,18890020.0000,410178059.0000,-0.0675917637,21.71400872,11.57289981842041,1
000016.SZ,5.5700,5.5200,5.5900,5.4300,5.4400,64585766.0000,354798086.0000,-0.0233393178,5.49344086,17.45210075378418,1
000017.SZ,6.7000,6.7900,6.8400,6.6800,6.6800,15521212.0000,104642575.0000,-0.0029850746,6.74190746,3.1861701011657715,1
000019.SZ,6.9900,6.9400,6.9900,6.9000,6.9500,14823595.0000,102976794.0000,-0.0057224607,6.94681648,4.632120132446289,1
000020.SZ,14.7400,14.8000,14.9100,14.4700,14.6900,8769481.0000,128981053.0000,-0.0033921303,14.70794600,1.6526399850845337,1
000021.SZ,29.8100,30.4000,30.6700,29.1000,29.1600,131828819.0000,3911793692.0000,-0.0218047635,29.67328177,11.307499885559082,1
000025.SZ,18.3500,18.3000,18.3300,17.9400,17.9400,14499130.0000,262527149.0000,-0.0223433243,18.10640701,2.6796000003814697,1
000026.SZ,16.4700,16.4900,16.4900,16.1600,16.2400,5026801.0000,81848497.0000,-0.0139647845,16.28242236,7.495890140533447,1
000027.SZ,7.2100,7.1800,7.3800,7.1500,7.3100,90453751.0000,657764643.0000,0.0138696255,7.27183379,9.21261978149414,1
000028.SZ,25.4700,25.4700,25.5500,25.3700,25.3700,2331224.0000,59384542.0000,-0.0039261877,25.47354609,4.637829780578613,1
000029.SZ,29.1300,29.2700,29.3900,28.3300,28.3500,5030001.0000,144702568.0000,-0.0267765191,28.76790044,1.9536000490188599,1
000030.SZ,5.5900,5.5900,5.6400,5.5500,5.5700,11647440.0000,65143138.0000,-0.0035778175,5.59291467,2.7720000743865967,1
000031.SZ,3.2800,3.2200,3.2400,3.0500,3.0500,58845300.0000,183570881.0000,-0.0701219512,3.11955043,11.42650032043457,1
000032.SZ,20.4700,20.3500,20.6900,20.0800,20.2400,15643200.0000,318418735.0000,-0.0112359551,20.35508943,3.261770009994507,1
000034.SZ,42.9500,42.0200,42.0700,40.6000,41.1400,57609093.0000,2380952390.0000,-0.0421420256,41.32945454,2.44320011138916,1
000035.SZ,5.8200,5.8800,5.9800,5.8000,5.8600,34147200.0000,200993176.0000,0.0068728522,5.88608073,5.1479997634887695,1
000036.SZ,3.9900,3.9800,3.9800,3.8600,3.8600,21831930.0000,85406317.0000,-0.0325814536,3.91199115,6.475220203399658,1
000037.SZ,8.8200,8.8000,8.8700,8.6700,8.6700,6156400.0000,53850056.0000,-0.0170068027,8.74700409,4.134749889373779,1
000039.SZ,8.1900,8.1600,8.3100,8.1500,8.2500,43401386.0000,358600245.0000,0.0073260073,8.26241459,29.682100296020508,1
000042.SZ,7.8100,7.8100,7.8100,7.6600,7.6700,5484200.0000,42328547.0000,-0.0179257362,7.71827194,10.342399597167969,1
000045.SZ,13.9400,13.9000,13.9300,13.3000,13.3300,24886200.0000,334034970.0000,-0.0437589670,13.42249801,2.791800022125244,1
000048.SZ,16.7400,16.7200,16.7300,16.4700,16.4800,12878700.0000,213487402.0000,-0.0155316607,16.57678197,8.40468978881836,1
000049.SZ,28.3700,28.2600,28.8500,27.9400,28.3900,15357048.0000,435446069.0000,0.0007049700,28.35480289,8.047699928283691,1
000050.SZ,9.5500,9.5400,9.6000,9.4600,9.4800,17002111.0000,161866078.0000,-0.0073298429,9.52035180,7.623000144958496,1
000055.SZ,4.3500,4.3400,4.3500,4.2300,4.2400,15805611.0000,67654540.0000,-0.0252873563,4.28041282,8.47799015045166,1
000056.SZ,2.3100,2.3700,2.3800,2.2800,2.2900,34988500.0000,80851208.0000,-0.0086580087,2.31079378,4.665599822998047,1
000058.SZ,9.8500,9.9200,10.1600,9.7600,9.7700,31947214.0000,317457671.0000,-0.0081218274,9.93694383,3.055219888687134,1
000059.SZ,5.1800,5.1500,5.1800,5.0700,5.1200,23142900.0000,118295837.0000,-0.0115830116,5.11153905,1.4882099628448486,1
000060.SZ,5.7900,5.7100,5.7800,5.6600,5.6700,148812367.0000,849836658.0000,-0.0207253886,5.71079323,45.04209899902344,1
000061.SZ,8.6400,8.7500,8.8600,8.4800,8.4800,20968244.0000,181460987.0000,-0.0185185185,8.65408601,23.406700134277344,1
000062.SZ,28.1700,28.1400,28.3500,27.5500,27.5600,14421910.0000,402701760.0000,-0.0216542421,27.92291451,6.371300220489502,1
000063.SZ,46.2000,45.6100,45.8800,44.7600,44.8300,228519633.0000,10333210301.0000,-0.0296536797,45.21804173,14.041399955749512,1
000065.SZ,11.3100,11.2900,11.3200,11.0200,11.0800,25904070.0000,288119066.0000,-0.0203359859,11.12254043,20.05739974975586,1
000066.SZ,16.8300,16.6700,17.5000,16.5200,16.9800,182074075.0000,3116929804.0000,0.0089126560,17.11902040,9.161149978637695,1
000068.SZ,3.9500,3.8800,3.9000,3.7500,3.8100,54292070.0000,207695540.0000,-0.0354430380,3.82552259,2.190419912338257,1
000069.SZ,2.3900,2.3900,2.4000,2.3700,2.3800,47912603.0000,114134821.0000,-0.0041841004,2.38214611,32.6432991027832,1
000070.SZ,10.1400,10.0600,10.0600,9.7200,9.7500,41354399.0000,408100476.0000,-0.0384615385,9.86836917,3.312000036239624,1
000078.SZ,2.5200,2.5200,2.5200,2.4700,2.4900,20847353.0000,52059286.0000,-0.0119047619,2.49716528,19.96619987487793,1
000088.SZ,4.5800,4.5800,4.6500,4.5700,4.6000,53502268.0000,246885098.0000,0.0043668122,4.61447911,4.8059000968933105,1
000089.SZ,7.2100,7.2200,7.2500,7.1700,7.2000,12712443.0000,91687661.0000,-0.0013869626,7.21243438,6.046669960021973,1
000090.SZ,3.8600,3.8300,3.8500,3.7600,3.7600,42370860.0000,160980002.0000,-0.0259067358,3.79930929,5.45242977142334,1
000096.SZ,11.7400,11.7000,11.8400,11.5800,11.5800,7997100.0000,93707235.0000,-0.0136286201,11.71765202,2.1760001182556152,1
000099.SZ,22.0400,22.2000,22.2000,21.7500,21.8000,11997180.0000,263137211.0000,-0.0108892922,21.93325523,3.458940029144287,1
000100.SZ,4.2600,4.2500,4.3700,4.2300,4.2900,580833546.0000,2502570100.0000,0.0070422535,4.30858396,2.75,1
000151.SZ,12.6500,12.6500,12.6800,12.4300,12.4300,4512012.0000,56530798.0000,-0.0173913043,12.52895560,1.9950000047683716,1
000153.SZ,6.6200,6.6200,6.6200,6.5300,6.5400,5365740.0000,35239552.0000,-0.0120845921,6.56751017,7.559999942779541,1
000155.SZ,12.2000,12.5200,12.6800,12.2500,12.3600,141164435.0000,1754681873.0000,0.0131147541,12.43005629,1.3200000524520874,1
000156.SZ,7.8700,7.8500,7.9000,7.7800,7.8100,6652400.0000,52148616.0000,-0.0076238882,7.83906801,1.540619969367981,1
000157.SZ,7.9900,8.0200,8.1500,8.0000,8.0300,71700891.0000,578379515.0000,0.0050062578,8.06655966,47.85070037841797,1
000158.SZ,23.4300,23.3500,23.3500,22.6300,22.6700,75077873.0000,1721873373.0000,-0.0324370465,22.93449860,2.6978700160980225,1
000159.SZ,6.1400,6.1400,6.1600,6.0300,6.0600,12124200.0000,73841893.0000,-0.0130293160,6.09045488,2.936000108718872,1
000166.SZ,5.5500,5.5400,5.5400,5.4500,5.4500,113825032.0000,625347994.0000,-0.0180180180,5.49394086,1.350000023841858,1
000301.SZ,9.1700,9.1700,9.3000,9.0800,9.2100,16889578.0000,155683987.0000,0.0043620502,9.21775470,1.7000000476837158,1
