code,open,high,low,close,pre_close,pct_chg,vwap,volume,amt,adjfactor,trade_status,valuation_date,update_time
000001.SZ,12.2400,12.3800,12.2100,12.3000,12.2800,0.0016286645,12.31131113,103268969.0000,1271376407.0000,150.53599548339844,1,2025-08-04,2025-11-01 19:58:41.083729
000002.SZ,6.3700,6.4100,6.3500,6.4100,6.3900,0.0031298905,6.38055812,59030369.0000,376646700.0000,99.09539794921875,1,2025-08-04,2025-11-01 19:58:41.083729
000004.SZ,8.8700,8.9400,8.7900,8.9300,8.8700,0.0067643743,8.89511310,2785200.0000,24774669.0000,7.9942498207092285,1,2025-08-04,2025-11-01 19:58:41.083729
000006.SZ,6.1000,6.2000,6.0900,6.1600,6.1500,0.0016260163,6.13720401,14512207.0000,89064375.0000,64.00279998779297,1,2025-08-04,2025-11-01 19:58:41.083729
000007.SZ,7.1400,7.2300,7.0800,7.1900,7.1100,0.0112517581,7.16675907,5622123.0000,40292401.0000,15.418700218200684,1,2025-08-04,2025-11-01 19:58:41.083729
000008.SZ,2.7500,2.7800,2.7300,2.7800,2.7600,0.0072463768,2.76089536,31974356.0000,88277851.0000,32.097801208496094,1,2025-08-04,2025-11-01 19:58:41.083729
000009.SZ,9.1100,9.3000,9.0700,9.2600,9.1300,0.0142387733,9.21573454,25892381.0000,238617310.0000,11.946700096130371,1,2025-08-04,2025-11-01 19:58:41.083729
000010.SZ,3.7200,4.0800,3.6800,3.9300,3.7800,0.0396825397,3.89865895,107402785.0000,418726829.0000,11.229900360107422,1,2025-08-04,2025-11-01 19:58:41.083729
000011.SZ,8.4600,8.5100,8.4200,8.4800,8.4800,0E-10,8.46864351,3632900.0000,30765735.0000,3.2432100772857666,1,2025-08-04,2025-11-01 19:58:41.083729
000012.SZ,4.7800,4.7800,4.7200,4.7500,4.7800,-0.0062761506,4.74032789,12411641.0000,58835248.0000,22.347900390625,1,2025-08-04,2025-11-01 19:58:41.083729
000014.SZ,12.1200,12.4000,12.0000,12.3300,12.2200,0.0090016367,12.20953185,5613180.0000,68534300.0000,11.57289981842041,1,2025-08-04,2025-11-01 19:58:41.083729
000016.SZ,4.8100,4.8500,4.7500,4.8400,4.8500,-0.0020618557,4.82014631,19445400.0000,93729673.0000,17.45210075378418,1,2025-08-04,2025-11-01 19:58:41.083729
000017.SZ,6.2000,6.2900,6.1600,6.2800,6.2100,0.0112721417,6.24571398,6558821.0000,40964520.0000,3.1861701011657715,1,2025-08-04,2025-11-01 19:58:41.083729
000019.SZ,6.8100,6.8600,6.7800,6.8400,6.8200,0.0029325513,6.83425626,5423167.0000,37063313.0000,4.632120132446289,1,2025-08-04,2025-11-01 19:58:41.083729
000020.SZ,13.3900,13.5000,13.2800,13.5000,13.3900,0.0082150859,13.44554521,3392300.0000,45611323.0000,1.6526399850845337,1,2025-08-04,2025-11-01 19:58:41.083729
000021.SZ,18.2500,18.5100,18.2000,18.5100,18.3500,0.0087193460,18.40331270,18148221.0000,333987386.0000,11.307499885559082,1,2025-08-04,2025-11-01 19:58:41.083729
000025.SZ,17.0000,17.1500,16.9200,17.0600,16.9800,0.0047114252,17.01586322,3885845.0000,66121007.0000,2.6796000003814697,1,2025-08-04,2025-11-01 19:58:41.083729
000026.SZ,16.7600,18.0000,16.3400,17.6700,16.4500,0.0741641337,17.17192234,31566799.0000,542062621.0000,7.495890140533447,1,2025-08-04,2025-11-01 19:58:41.083729
000027.SZ,6.5200,6.5600,6.5000,6.5500,6.5300,0.0030627871,6.52694151,14985164.0000,97807289.0000,9.21261978149414,1,2025-08-04,2025-11-01 19:58:41.083729
000028.SZ,25.6100,25.9000,25.5000,25.8000,25.7700,0.0011641444,25.66232823,3663531.0000,94014735.0000,4.637829780578613,1,2025-08-04,2025-11-01 19:58:41.083729
000029.SZ,18.7100,19.6000,18.3600,19.6000,18.8000,0.0425531915,19.13666120,7044904.0000,134815941.0000,1.9536000490188599,1,2025-08-04,2025-11-01 19:58:41.083729
000030.SZ,5.9200,6.0000,5.9000,6.0000,5.9700,0.0050251256,5.96125870,6454300.0000,38475752.0000,2.7720000743865967,1,2025-08-04,2025-11-01 19:58:41.083729
000031.SZ,3.0200,3.0500,2.9800,3.0300,3.0600,-0.0098039216,3.02269618,21241110.0000,64205422.0000,11.42650032043457,1,2025-08-04,2025-11-01 19:58:41.083729
000032.SZ,24.7700,26.3500,24.6000,26.0000,24.7700,0.0496568430,25.43075632,93596114.0000,2380219968.0000,3.261770009994507,1,2025-08-04,2025-11-01 19:58:41.083729
000034.SZ,39.8300,40.6800,39.6500,40.1200,40.3500,-0.0057001239,39.92521104,29352060.0000,1171887190.0000,2.44320011138916,1,2025-08-04,2025-11-01 19:58:41.083729
000035.SZ,4.3000,4.3400,4.2900,4.3400,4.3200,0.0046296296,4.32006733,9668300.0000,41767707.0000,5.1479997634887695,1,2025-08-04,2025-11-01 19:58:41.083729
000036.SZ,3.6300,3.6500,3.5900,3.6400,3.6300,0.0027548209,3.61860484,13244927.0000,47928157.0000,6.475220203399658,1,2025-08-04,2025-11-01 19:58:41.083729
000037.SZ,9.0100,9.1500,8.9500,9.1100,9.0800,0.0033039648,9.07961914,6438000.0000,58454588.0000,4.134749889373779,1,2025-08-04,2025-11-01 19:58:41.083729
000039.SZ,8.1400,8.2000,8.1100,8.1900,8.1700,0.0024479804,8.15548670,35094655.0000,286213992.0000,29.682100296020508,1,2025-08-04,2025-11-01 19:58:41.083729
000042.SZ,8.1900,8.3000,8.1200,8.2700,8.2000,0.0085365854,8.23088097,3995600.0000,32887308.0000,10.342399597167969,1,2025-08-04,2025-11-01 19:58:41.083729
000045.SZ,10.4300,10.6100,10.4300,10.6000,10.5400,0.0056925996,10.54209200,3915922.0000,41282010.0000,2.791800022125244,1,2025-08-04,2025-11-01 19:58:41.083729
000048.SZ,15.5500,15.8300,15.3500,15.8100,15.5600,0.0160668380,15.60083997,7359061.0000,114807533.0000,8.40468978881836,1,2025-08-04,2025-11-01 19:58:41.083729
000049.SZ,22.8400,23.0800,22.7200,23.0400,22.9100,0.0056743780,22.92661349,3748918.0000,85949994.0000,8.047699928283691,1,2025-08-04,2025-11-01 19:58:41.083729
000050.SZ,9.2000,9.3000,9.1200,9.2900,9.2400,0.0054112554,9.22734471,16913488.0000,156066584.0000,7.623000144958496,1,2025-08-04,2025-11-01 19:58:41.083729
000055.SZ,4.1600,4.2100,4.1200,4.2000,4.1700,0.0071942446,4.17311763,8344650.0000,34823206.0000,8.47799015045166,1,2025-08-04,2025-11-01 19:58:41.083729
000056.SZ,2.9200,2.9400,2.8800,2.9200,2.9400,-0.0068027211,2.90737760,32373800.0000,94122861.0000,4.665599822998047,1,2025-08-04,2025-11-01 19:58:41.083729
000058.SZ,8.0900,8.6200,8.0700,8.3800,8.1300,0.0307503075,8.40276505,21047196.0000,176854643.0000,3.055219888687134,1,2025-08-04,2025-11-01 19:58:41.083729
000059.SZ,5.2400,5.2900,5.2000,5.2800,5.2600,0.0038022814,5.25159490,14903800.0000,78268720.0000,1.4882099628448486,1,2025-08-04,2025-11-01 19:58:41.083729
000060.SZ,4.7200,4.7700,4.7000,4.7700,4.7300,0.0084566596,4.72952605,35354440.0000,167209745.0000,45.04209899902344,1,2025-08-04,2025-11-01 19:58:41.083729
000061.SZ,6.5100,6.5200,6.4400,6.5000,6.5200,-0.0030674847,6.48362511,6496900.0000,42123464.0000,23.406700134277344,1,2025-08-04,2025-11-01 19:58:41.083729
000062.SZ,25.1500,25.5500,25.0800,25.5400,25.3600,0.0070977918,25.41124520,9170896.0000,233043887.0000,6.371300220489502,1,2025-08-04,2025-11-01 19:58:41.083729
000063.SZ,33.6000,33.8800,33.5900,33.8700,33.9000,-0.0008849558,33.73267320,37928775.0000,1279438972.0000,14.041399955749512,1,2025-08-04,2025-11-01 19:58:41.083729
000065.SZ,10.9800,11.0700,10.9300,11.0400,11.0300,0.0009066183,11.01085349,9520163.0000,104825120.0000,20.05739974975586,1,2025-08-04,2025-11-01 19:58:41.083729
000066.SZ,14.8600,15.0800,14.8200,15.0500,14.9900,0.0040026684,14.99975600,48815316.0000,732217829.0000,9.161149978637695,1,2025-08-04,2025-11-01 19:58:41.083729
000068.SZ,3.3400,3.3900,3.2900,3.3500,3.3300,0.0060060060,3.34751890,14260200.0000,47736289.0000,2.190419912338257,1,2025-08-04,2025-11-01 19:58:41.083729
000069.SZ,2.2600,2.2700,2.2400,2.2600,2.2600,0E-10,2.25282509,31137013.0000,70146244.0000,32.6432991027832,1,2025-08-04,2025-11-01 19:58:41.083729
000070.SZ,7.3900,7.5100,7.2900,7.4600,7.4000,0.0081081081,7.42422244,24473116.0000,181693857.0000,3.312000036239624,1,2025-08-04,2025-11-01 19:58:41.083729
000078.SZ,2.8000,2.8300,2.7100,2.7800,2.8000,-0.0071428571,2.74904915,59519393.0000,163621737.0000,19.96619987487793,1,2025-08-04,2025-11-01 19:58:41.083729
000088.SZ,4.5300,4.5500,4.5100,4.5500,4.5400,0.0022026432,4.53407436,9446486.0000,42831070.0000,4.8059000968933105,1,2025-08-04,2025-11-01 19:58:41.083729
000089.SZ,7.0800,7.1400,7.0700,7.1300,7.0900,0.0056417489,7.10673521,9964481.0000,70814928.0000,6.046669960021973,1,2025-08-04,2025-11-01 19:58:41.083729
000090.SZ,3.4900,3.5200,3.4800,3.5200,3.5200,0E-10,3.49545637,21100960.0000,73757485.0000,5.45242977142334,1,2025-08-04,2025-11-01 19:58:41.083729
000096.SZ,12.0000,12.1500,11.9000,12.1500,12.0900,0.0049627792,12.05666742,5974579.0000,72033512.0000,2.1760001182556152,1,2025-08-04,2025-11-01 19:58:41.083729
000099.SZ,22.4500,23.7700,22.4400,23.2500,22.0300,0.0553790286,23.22996593,70702851.0000,1642424820.0000,3.458940029144287,1,2025-08-04,2025-11-01 19:58:41.083729
000100.SZ,4.4100,4.4400,4.3800,4.4300,4.4300,0E-10,4.40852953,214558335.0000,945886755.0000,2.75,1,2025-08-04,2025-11-01 19:58:41.083729
000151.SZ,12.6500,12.7600,12.6100,12.7400,12.7500,-0.0007843137,12.68682413,3308700.0000,41976895.0000,1.9950000047683716,1,2025-08-04,2025-11-01 19:58:41.083729
000153.SZ,7.2000,7.4900,7.1500,7.3400,7.2800,0.0082417582,7.26517879,27733764.0000,201490754.0000,7.559999942779541,1,2025-08-04,2025-11-01 19:58:41.083729
000155.SZ,10.0500,10.0800,9.9800,10.0700,10.0800,-0.0009920635,10.04520876,8483201.0000,85215525.0000,1.3200000524520874,1,2025-08-04,2025-11-01 19:58:41.083729
